"Please attach an Excel .xlsx file.","Lütfen bir Excel .xlsx dosyası ekleyin.",""
"Company is required to post accounting entries.","Muhasebe kayıtlarını işlemek için şirket gereklidir.",""
"Could not resolve a leaf Cost Center for this booking. Ensure the tour code matches an existing leaf Cost Center (e.g. TUR-2026-01) or set a non-group fallback Cost Center in Umre Ops Settings.","Bu rezervasyon için alt maliyet merkezi çözümlenemedi. Tur kodunun mevcut bir alt maliyet merkeziyle eşleştiğinden emin olun (örn. TUR-2026-01) veya Umre Ops Settings içinde grup olmayan bir yedek maliyet merkezi belirleyin.",""
"Umre Ops Settings.income_account is required to post receipts.","Tahsilatları işlemek için Umre Ops Settings.income_account gereklidir.",""
"Receipt amount must be > 0","Tahsilat tutarı 0 değerinden büyük olmalıdır",""
"Booking.customer is required to post Payment Entry receipts.","Payment Entry tahsilatlarını işlemek için Booking.customer gereklidir.",""
"Umre Ops Settings.receivable_account is required to post Payment Entry receipts.","Payment Entry tahsilatlarını işlemek için Umre Ops Settings.receivable_account gereklidir.",""
"Missing expense account mapping for {0}. Configure Umre Ops Settings.","{0} için gider hesabı eşlemesi eksik. Umre Ops Settings ayarlarını yapılandırın.",""
"Missing commission_expense_account mapping in Umre Ops Settings.","Umre Ops Settings içinde commission_expense_account eşlemesi eksik.",""
"No operational costs found to post for this booking.","Bu rezervasyon için işlenecek operasyonel maliyet bulunamadı.",""
"Excel file is empty.","Excel dosyası boş.",""
"Missing required Excel columns: {0}","Zorunlu Excel sütunları eksik: {0}",""
"Missing TC KİMLİK NO","TC KİMLİK NO eksik",""
"Target Umre Tour does not exist.","Hedef Umre Tour mevcut değil.",""
"idempotency_key is required","idempotency_key gereklidir",""
"Idempotency key reuse detected for {0}. Payload hash mismatch.","{0} için tekrarsız işlem anahtarı yeniden kullanımı algılandı. Yük özeti eşleşmiyor.",""
"Umre Ops Settings.company is required for accounting posting.","Muhasebe işleme için Umre Ops Settings.company gereklidir.",""
"Payment amount cannot be 0.","Ödeme tutarı 0 olamaz.",""
"Payment row not found on this booking.","Bu rezervasyonda ödeme satırı bulunamadı.",""
"Missing DocType: Umre Ops Settings (run migrate).","Eksik DocType: Umre Ops Settings (migrate çalıştırın).",""
"Umre Ops Settings is not created yet. Create and set required fields.","Umre Ops Settings henüz oluşturulmamış. Oluşturun ve zorunlu alanları doldurun.",""
"Missing setting: Umre Ops Settings.{0}","Eksik ayar: Umre Ops Settings.{0}",""
"Invalid setting: {0} points to missing {1} {2}","Geçersiz ayar: {0}, eksik {1} {2} kaydını gösteriyor",""
"Invalid Account mapping: {0} -> {1}","Geçersiz hesap eşlemesi: {0} -> {1}",""
"Missing Account mapping: Umre Ops Settings.{0}","Eksik hesap eşlemesi: Umre Ops Settings.{0}",""
"Invalid Cost Center mapping: {0} -> {1}","Geçersiz maliyet merkezi eşlemesi: {0} -> {1}",""
"Missing Cost Center mapping: Umre Ops Settings.{0}","Eksik maliyet merkezi eşlemesi: Umre Ops Settings.{0}",""
"Invalid Mode of Payment mapping: {0} -> {1}","Geçersiz ödeme türü eşlemesi: {0} -> {1}",""
"Company DocType not found; install erpnext on the site before running this.","Company DocType bulunamadı; bunu çalıştırmadan önce siteye erpnext kurun.",""
"ERPNext must be installed to create a Company document","Company belgesi oluşturmak için ERPNext kurulu olmalıdır",""
"No Company available: install ERPNext and run ensure_at_least_one_company()","Kullanılabilir Company yok: ERPNext kurun ve ensure_at_least_one_company() çalıştırın",""
"İl adı eşleşmedi: {0}","İl adı eşleşmedi: {0}",""
"Umre Booking","Umre Rezervasyonu",""
"Umre Booking Payment","Umre Rezervasyon Ödemesi",""
"Umre Tour","Umre Turu",""
"Umre Ops Settings","Umre Ops Ayarları",""
"Umre Posting Event","Umre Muhasebe İşleme Olayı",""
"Referral Source","Referans Kaynağı",""
"Tour Hotel Cost Rule","Tur Otel Maliyet Kuralı",""
"Tour Airfare Cost Rule","Tur Uçak Maliyet Kuralı",""
"Tour Visa Cost Rule","Tur Vize Maliyet Kuralı",""
"Tour Diyanet Card Rule","Tur Diyanet Kartı Kuralı",""
"Filter based on {0}","{0} bazında filtrele",""
"Filter based on","Bazında filtrele",""
